slice_category,slice_value,precision,recall,fbeta,count
education,Preschool,0.0,1.0,0.0,51
education,9th,1.0,0.14814814814814814,0.25806451612903225,514
education,1st-4th,1.0,0.16666666666666666,0.2857142857142857,168
education,7th-8th,0.875,0.175,0.29166666666666663,646
education,10th,1.0,0.24193548387096775,0.38961038961038963,933
education,5th-6th,1.0,0.3125,0.47619047619047616,333
education,11th,1.0,0.3333333333333333,0.5,1175
education,12th,1.0,0.3333333333333333,0.5,433
education,HS-grad,0.8616504854368932,0.42388059701492536,0.5682272909163666,10501
education,Some-college,0.8368368368368369,0.6027397260273972,0.7007544006705784,7291
education,Assoc-voc,0.8774703557312253,0.6149584487534626,0.7231270358306189,1382
education,Assoc-acdm,0.8793969849246231,0.660377358490566,0.7543103448275862,1067
education,Bachelors,0.809379070777247,0.8392615938766321,0.824049513704686,5355
education,Masters,0.8508682328907048,0.8686131386861314,0.8596491228070176,1723
education,Doctorate,0.8622754491017964,0.9411764705882353,0.9,413
education,Prof-school,0.9056179775280899,0.9527186761229315,0.9285714285714287,576
marital-status,Married-AF-spouse,1.0,0.3,0.4615384615384615,23
marital-status,Married-spouse-absent,0.9230769230769231,0.35294117647058826,0.5106382978723405,418
marital-status,Divorced,0.9421965317919075,0.35205183585313177,0.5125786163522013,4443
marital-status,Widowed,1.0,0.35294117647058826,0.5217391304347826,993
marital-status,Never-married,0.9845360824742269,0.3890020366598778,0.5576642335766423,10683
marital-status,Separated,0.9655172413793104,0.42424242424242425,0.5894736842105264,1025
marital-status,Married-civ-spouse,0.8335291156234268,0.7422295277943813,0.785234368824599,14976
native-country,Mexico,0.9166666666666666,0.3333333333333333,0.4888888888888888,643
native-country,Dominican-Republic,0.5,0.5,0.5,70
native-country,Guatemala,1.0,0.3333333333333333,0.5,64
native-country,Vietnam,1.0,0.4,0.5714285714285715,67
native-country,Yugoslavia,0.75,0.5,0.6,16
native-country,Haiti,1.0,0.5,0.6666666666666666,44
native-country,Laos,1.0,0.5,0.6666666666666666,18
native-country,Portugal,1.0,0.5,0.6666666666666666,37
native-country,Trinadad&Tobago,1.0,0.5,0.6666666666666666,19
native-country,South,0.6875,0.6875,0.6875,80
native-country,Jamaica,0.8571428571428571,0.6,0.7058823529411764,81
native-country,Italy,0.8823529411764706,0.6,0.7142857142857143,73
native-country,Ireland,1.0,0.6,0.7499999999999999,24
native-country,Ecuador,0.75,0.75,0.75,28
native-country,United-States,0.8396015799416109,0.6817738111839353,0.7525011543789442,29170
native-country,Germany,0.8648648648648649,0.7272727272727273,0.7901234567901235,137
native-country,?,0.8409090909090909,0.7602739726027398,0.7985611510791367,583
native-country,Greece,0.8571428571428571,0.75,0.7999999999999999,29
native-country,Hungary,1.0,0.6666666666666666,0.8,13
native-country,Peru,0.6666666666666666,1.0,0.8,31
native-country,Poland,1.0,0.6666666666666666,0.8,60
native-country,England,0.8846153846153846,0.7666666666666667,0.8214285714285715,90
native-country,Cambodia,1.0,0.7142857142857143,0.8333333333333333,19
native-country,Hong,0.8333333333333334,0.8333333333333334,0.8333333333333334,20
native-country,Iran,0.8,0.8888888888888888,0.8421052631578948,43
native-country,Japan,0.9047619047619048,0.7916666666666666,0.8444444444444444,62
native-country,Philippines,0.9074074074074074,0.8032786885245902,0.8521739130434782,198
native-country,India,0.8333333333333334,0.875,0.8536585365853658,100
native-country,Canada,0.868421052631579,0.8461538461538461,0.8571428571428572,121
native-country,France,0.8461538461538461,0.9166666666666666,0.8799999999999999,29
native-country,Cuba,1.0,0.8,0.888888888888889,95
native-country,China,0.8636363636363636,0.95,0.9047619047619048,75
native-country,Puerto-Rico,1.0,0.8333333333333334,0.9090909090909091,114
native-country,Taiwan,0.9473684210526315,0.9,0.9230769230769231,51
native-country,El-Salvador,1.0,0.8888888888888888,0.9411764705882353,106
native-country,Columbia,1.0,1.0,1.0,59
native-country,Holand-Netherlands,1.0,1.0,1.0,1
native-country,Honduras,1.0,1.0,1.0,13
native-country,Nicaragua,1.0,1.0,1.0,34
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0,14
native-country,Scotland,1.0,1.0,1.0,12
native-country,Thailand,1.0,1.0,1.0,18
occupation,Other-service,0.9285714285714286,0.1897810218978102,0.3151515151515152,3295
occupation,Handlers-cleaners,1.0,0.2441860465116279,0.3925233644859813,1370
occupation,Transport-moving,0.923728813559322,0.340625,0.497716894977169,1597
occupation,Machine-op-inspct,0.883495145631068,0.364,0.5155807365439093,2002
